epoch,total,loss_f,loss_ic,loss_bc,lambda_f,lambda_ic,lambda_bc,n_f
164,0.8280965685844421,0.25062432885169983,0.0996859222650528,0.4777863025665283,1.0,1.0,1.0,2000
165,0.8237826824188232,0.2560017704963684,0.099531389772892,0.46824949979782104,1.0,1.0,1.0,2000
166,0.818139910697937,0.26205724477767944,0.09929781407117844,0.45678484439849854,1.0,1.0,1.0,2000
167,0.8102917671203613,0.2689136862754822,0.09889348596334457,0.4424845576286316,1.0,1.0,1.0,2000
168,0.7986316680908203,0.2761373221874237,0.09822181612253189,0.4242725372314453,1.0,1.0,1.0,2000
169,0.7806885838508606,0.2821601629257202,0.0971667617559433,0.4013616442680359,1.0,1.0,1.0,2000
170,0.7569760084152222,0.2863403260707855,0.09579604864120483,0.3748396337032318,1.0,1.0,1.0,2000
171,0.7437982559204102,0.29214048385620117,0.09605953842401505,0.35559824109077454,1.0,1.0,1.0,2000
172,0.7411975264549255,0.26357656717300415,0.10475245863199234,0.37286850810050964,1.0,1.0,1.0,2000
173,0.7385942339897156,0.2907891273498535,0.09434635192155838,0.3534587621688843,1.0,1.0,1.0,2000
174,0.7484946250915527,0.26185181736946106,0.09624481946229935,0.39039796590805054,1.0,1.0,1.0,2000
175,0.7636461853981018,0.3489219844341278,0.08101209998130798,0.333712100982666,1.0,1.0,1.0,2000
176,0.7667561769485474,0.27488037943840027,0.0884733647108078,0.4034024477005005,1.0,1.0,1.0,2000
177,0.7403597831726074,0.2985110580921173,0.08616138249635696,0.35568732023239136,1.0,1.0,1.0,2000
178,0.7458380460739136,0.31722933053970337,0.08454122394323349,0.3440674841403961,1.0,1.0,1.0,2000
179,0.7377525568008423,0.24086619913578033,0.09914770722389221,0.39773863554000854,1.0,1.0,1.0,2000
180,0.7237895727157593,0.25178468227386475,0.10082671791315079,0.37117820978164673,1.0,1.0,1.0,2000
181,0.7355265617370605,0.3054519593715668,0.09391965717077255,0.336154967546463,1.0,1.0,1.0,2000
182,0.7162888050079346,0.2573690712451935,0.09942938387393951,0.35949036478996277,1.0,1.0,1.0,2000
183,0.725719690322876,0.235884889960289,0.10342379659414291,0.38641104102134705,1.0,1.0,1.0,2000
184,0.7183582782745361,0.2496570497751236,0.0982140526175499,0.37048715353012085,1.0,1.0,1.0,2000
185,0.7243211269378662,0.28850796818733215,0.09255506843328476,0.3432580828666687,1.0,1.0,1.0,2000
186,0.7217727899551392,0.28533458709716797,0.0933544933795929,0.3430837094783783,1.0,1.0,1.0,2000
187,0.7165849804878235,0.2524557113647461,0.09904085844755173,0.36508840322494507,1.0,1.0,1.0,2000
188,0.716994047164917,0.24169592559337616,0.10247503966093063,0.3728231191635132,1.0,1.0,1.0,2000
189,0.7080367803573608,0.2610962986946106,0.09976837784051895,0.3471720814704895,1.0,1.0,1.0,2000
190,0.7102684378623962,0.2920786142349243,0.09714864194393158,0.32104116678237915,1.0,1.0,1.0,2000
191,0.7035448551177979,0.2774486839771271,0.10061133652925491,0.32548487186431885,1.0,1.0,1.0,2000
192,0.7010405659675598,0.2541865110397339,0.1027950644493103,0.3440589904785156,1.0,1.0,1.0,2000
193,0.6975519061088562,0.25567254424095154,0.09920507669448853,0.34267428517341614,1.0,1.0,1.0,2000
194,0.6916429400444031,0.276907742023468,0.09572020918130875,0.3190149962902069,1.0,1.0,1.0,2000
195,0.6903115510940552,0.2864059805870056,0.09581433236598969,0.30809125304222107,1.0,1.0,1.0,2000
196,0.6818357110023499,0.2760283350944519,0.09520696103572845,0.3106003999710083,1.0,1.0,1.0,2000
197,0.6762241125106812,0.2679230570793152,0.09569244086742401,0.31260859966278076,1.0,1.0,1.0,2000
198,0.6621483564376831,0.2651103734970093,0.09830526262521744,0.2987327575683594,1.0,1.0,1.0,2000
199,0.6414535045623779,0.27272576093673706,0.09939724206924438,0.2693305015563965,1.0,1.0,1.0,2000
200,0.6228930354118347,0.2811965346336365,0.09984120726585388,0.24185529351234436,1.0,1.0,1.0,2000
201,0.599829912185669,0.239118292927742,0.10500966757535934,0.2557019293308258,1.0,1.0,1.0,2000
202,0.5774471759796143,0.2206134796142578,0.09953556209802628,0.2572981119155884,1.0,1.0,1.0,2000
203,0.5729368329048157,0.231367826461792,0.09512604773044586,0.2464429885149002,1.0,1.0,1.0,2000
204,0.5766278505325317,0.23300276696681976,0.0946299359202385,0.24899518489837646,1.0,1.0,1.0,2000
205,0.5909789800643921,0.22618865966796875,0.0933842808008194,0.2714060842990875,1.0,1.0,1.0,2000
206,0.5959336757659912,0.2577074468135834,0.089076928794384,0.24914929270744324,1.0,1.0,1.0,2000
207,0.6004642248153687,0.25800755620002747,0.08858246356248856,0.2538742423057556,1.0,1.0,1.0,2000
208,0.5975433588027954,0.2459191232919693,0.09054948389530182,0.2610747516155243,1.0,1.0,1.0,2000
209,0.5940139293670654,0.23437094688415527,0.09324520826339722,0.2663978040218353,1.0,1.0,1.0,2000
210,0.586503803730011,0.21888668835163116,0.09423403441905975,0.27338308095932007,1.0,1.0,1.0,2000
211,0.5794141888618469,0.23809267580509186,0.0916062518954277,0.24971525371074677,1.0,1.0,1.0,2000
212,0.5724033117294312,0.20905400812625885,0.09329146146774292,0.2700578570365906,1.0,1.0,1.0,2000
213,0.5654488801956177,0.21283504366874695,0.09355161339044571,0.2590622007846832,1.0,1.0,1.0,2000
214,0.567608118057251,0.22132547199726105,0.09362035244703293,0.25266233086586,1.0,1.0,1.0,2000
215,0.5705211162567139,0.20565059781074524,0.09498344361782074,0.2698870897293091,1.0,1.0,1.0,2000
216,0.5714312791824341,0.21370984613895416,0.0951806902885437,0.2625407576560974,1.0,1.0,1.0,2000
217,0.5747661590576172,0.22253014147281647,0.09704817831516266,0.25518786907196045,1.0,1.0,1.0,2000
218,0.574874997138977,0.20910024642944336,0.09884282201528549,0.2669319212436676,1.0,1.0,1.0,2000
219,0.5719987154006958,0.21877965331077576,0.09494694322347641,0.25827211141586304,1.0,1.0,1.0,2000
220,0.5689549446105957,0.2228870540857315,0.09379489719867706,0.25227296352386475,1.0,1.0,1.0,2000
221,0.5660452246665955,0.21391206979751587,0.09599629044532776,0.25613686442375183,1.0,1.0,1.0,2000
222,0.5623226165771484,0.2186337411403656,0.09468655288219452,0.2490023523569107,1.0,1.0,1.0,2000
223,0.5606240034103394,0.22164417803287506,0.0927794873714447,0.2462003082036972,1.0,1.0,1.0,2000
224,0.5599225163459778,0.21694079041481018,0.09350615739822388,0.24947556853294373,1.0,1.0,1.0,2000
225,0.5604792237281799,0.22097353637218475,0.09417783468961716,0.2453278750181198,1.0,1.0,1.0,2000
226,0.5605510473251343,0.22071295976638794,0.09347032755613327,0.24636775255203247,1.0,1.0,1.0,2000
227,0.5613813400268555,0.22707122564315796,0.09132561087608337,0.24298450350761414,1.0,1.0,1.0,2000
228,0.5616824626922607,0.23698778450489044,0.08985079079866409,0.23484385013580322,1.0,1.0,1.0,2000
229,0.560523509979248,0.22865279018878937,0.09098561108112335,0.24088512361049652,1.0,1.0,1.0,2000
230,0.5596668720245361,0.22729036211967468,0.09135852009057999,0.24101799726486206,1.0,1.0,1.0,2000
231,0.5579566359519958,0.2346179187297821,0.09011893719434738,0.23321977257728577,1.0,1.0,1.0,2000
232,0.5567811131477356,0.23081426322460175,0.09023331105709076,0.2357335388660431,1.0,1.0,1.0,2000
