num_train,depth,width,activation,seed,steps,lr,device,train_mse,test_mse,test_mae,test_max_abs,elapsed_sec
50,4,80,tanh,3407,3000,0.001,cpu,3.0576487915823236e-05,6.689561996608973e-05,0.005091735161840916,0.05052238330245018,1.862294755999983
50,2,20,tanh,1234,3000,0.001,cpu,4.8064495786093175e-05,0.00019211170729249716,0.008505318313837051,0.07873231917619705,0.9113508549999096
50,2,20,tanh,2024,3000,0.001,cpu,0.00027367411530576646,0.00026739275199361145,0.012293784879148006,0.07125338166952133,0.9034109589999844
50,2,20,tanh,3407,3000,0.001,cpu,5.127604890731163e-05,8.175028051482514e-05,0.006978975608944893,0.03834028169512749,0.9072607460000199
50,2,20,relu,1234,3000,0.001,cpu,0.0001729297946440056,0.000880543258972466,0.016167812049388885,0.1706121861934662,0.9026632059999429
50,2,20,relu,2024,3000,0.001,cpu,6.860739085823298e-05,0.0001470412826165557,0.008678735233843327,0.038403816521167755,0.9102038589999211
50,2,20,relu,3407,3000,0.001,cpu,0.0010794608388096094,0.0010658444371074438,0.021530279889702797,0.10247842967510223,0.9202256880000732
50,2,20,gelu,1234,3000,0.001,cpu,2.5640394596848637e-05,0.00015254135360009968,0.007631728891283274,0.07139462977647781,1.4448890080000183
50,2,20,gelu,2024,3000,0.001,cpu,8.910444739740342e-05,0.00010433159332023934,0.008795284666121006,0.024590523913502693,1.436143477999849
50,2,20,gelu,3407,3000,0.001,cpu,8.038127998588607e-05,0.00013102318916935474,0.009806483052670956,0.03362235054373741,1.4015302050001992
50,2,20,silu,1234,3000,0.001,cpu,0.00028743024449795485,0.0013441129121929407,0.022364415228366852,0.21863104403018951,0.9021630180000102
50,2,20,silu,2024,3000,0.001,cpu,0.0008719044853933156,0.0009525739005766809,0.024627260863780975,0.09107143431901932,0.9049258139998528
50,2,20,silu,3407,3000,0.001,cpu,0.000969265413004905,0.001282594632357359,0.0274344552308321,0.15070189535617828,0.9050734620000185
